,Case_id,Activity_recommended,Resource,Expected KPI
0,201811000157,Pending Request for Reservation Closure,SDCRAP,3018607.0115659554
1,201811000401,Pending Request for Reservation Closure,SDC,3072175.946302371
2,201810012078,Pending Request for Reservation Closure,SDCTCC,2649302.860446491
3,201811000207,Pending Request for Reservation Closure,00855,2706607.3429050916
4,201811000281,Pending Request for Reservation Closure,BOC,2660149.7811255874
5,201811000163,Pending Request for Reservation Closure,00846,2737962.6158244563
6,201811000472,Pending Request for Reservation Closure,missing,2889403.853796954
7,20189001392,Pending Request for Reservation Closure,00849,5508046.238852085
8,20189007529,Pending Request for Reservation Closure,00848,5515772.444667338
9,20189009333,Pending Request for Reservation Closure,00831,5518200.104911532
10,20191002315,Pending Request for Reservation Closure,00850,5552585.323264924
11,20191002537,Pending Request for Reservation Closure,BOCSER,5553341.352251456
12,20191003717,Pending Request for Reservation Closure,00851,5578782.438721603
13,20191003756,Pending Request for Reservation Closure,00837,5583078.458162931
14,20191008109,Pending Request for Reservation Closure,00857,5590014.622909405
15,20191008561,Pending Request for Reservation Closure,00839,5611400.220074507
16,20191009253,Pending Request for Reservation Closure,00852,5647329.435483681
17,20191010000,Pending Request for Reservation Closure,00835,5648998.050392466
18,20191011353,Pending Request for Reservation Closure,00828,5656290.848540215
19,20191011358,Pending Request for Reservation Closure,00854,5665100.802500189
20,20191011363,Pending Request for Reservation Closure,00823,5665217.012581057
21,20191011379,Pending Request for Reservation Closure,00842,5665256.294388802
22,20191011381,Pending Request for Reservation Closure,00844,5666270.869549689
23,20191013197,Pending Request for Reservation Closure,00829,5674774.285858647
24,20191013201,Pending Request for Reservation Closure,00887,5692482.076419017
25,20191013875,Network Adjustment Requested,DT04,5220779.093711077
26,20191013885,Network Adjustment Requested,269MAR,5229125.553881384
27,20192001721,Network Adjustment Requested,00723,5311950.324489182
28,20192001803,Network Adjustment Requested,00445,5322563.00644839
29,20192001819,Network Adjustment Requested,00270,5335442.847411273
30,20192001831,Network Adjustment Requested,00278,5359593.288760449
31,20192002203,Network Adjustment Requested,00613,5359593.288760449
32,20192002975,Network Adjustment Requested,00149,5360898.706195871
33,20192002990,Network Adjustment Requested,00078,5361958.532516633
34,20192004181,Network Adjustment Requested,00372,5361958.532516633
35,20192004194,Network Adjustment Requested,00519,5363697.658475738
36,20192004202,Network Adjustment Requested,00011,5363697.658475738
37,20192004223,Network Adjustment Requested,00253,5374613.406585099
38,20192004705,Network Adjustment Requested,00255,5374613.406585099
39,20192005837,Network Adjustment Requested,00268,5374613.406585099
40,20192005841,Network Adjustment Requested,SB01,5376028.524355289
41,20192005958,Network Adjustment Requested,00207,5376313.7839572225
42,20192006354,Network Adjustment Requested,SB98,5376313.7839572225
43,20192006962,Network Adjustment Requested,00066,5376313.7839572225
44,20192006977,Network Adjustment Requested,SB79,5376507.773796637
45,201810004374,Network Adjustment Requested,SB93,5376507.773796637
46,201810006659,Network Adjustment Requested,00927,5376784.010069074
47,201810006801,Network Adjustment Requested,SB84,5376784.010069074
48,201810007193,Network Adjustment Requested,00502,5378486.7595482245
49,201810008268,Network Adjustment Requested,00525,5378486.7595482245
50,201810011333,Network Adjustment Requested,00652,5394653.844101233
51,201811001211,Network Adjustment Requested,00695,5401409.153498474
52,201811001213,Network Adjustment Requested,00269,5401715.566988921
53,201811002464,Network Adjustment Requested,00383,5401715.566988921
54,201811003042,Network Adjustment Requested,SB41,5401715.566988921
55,201811003102,Network Adjustment Requested,00254,5405335.511152911
56,201811004868,Network Adjustment Requested,00643,5409474.268546272
57,201811007622,Network Adjustment Requested,00284,5418930.99550246
58,201811009220,Network Adjustment Requested,SB33,5420926.092118473
59,201811009230,Network Adjustment Requested,00232,5420926.092118473
60,201811009244,Network Adjustment Requested,00294,5420926.092118473
61,201811009253,Network Adjustment Requested,00130,5421728.192658407
62,201811009740,Network Adjustment Requested,00632,5422231.5095538935
63,201811009786,Network Adjustment Requested,00614,5422231.5095538935
64,201811010352,Network Adjustment Requested,00087,5422251.914322195
65,201811010356,Network Adjustment Requested,00258,5423285.366522525
66,201812000019,Network Adjustment Requested,00367,5426447.188140914
67,201812000020,Network Adjustment Requested,00272,5426641.177980328
68,201812000024,Network Adjustment Requested,00224,5428370.598910698
69,201812000027,Network Adjustment Requested,00314,5429455.634630085
70,201812001227,Network Adjustment Requested,00528,5430004.820876052
71,201812001228,Network Adjustment Requested,00194,5430004.820876052
72,201812001230,Network Adjustment Requested,00468,5430177.007755473
73,201812001234,Network Adjustment Requested,00752,5430177.007755473
74,201812001239,Network Adjustment Requested,SB62,5430273.540700808
75,201812001744,Network Adjustment Requested,00369,5431976.290179959
76,201812002292,Network Adjustment Requested,00141,5438789.785994552
77,201812002310,Network Adjustment Requested,00252,5438869.227359964
78,201812002755,Network Adjustment Requested,SB95,5441684.605336497
79,201812003350,Network Adjustment Requested,00508,5455205.097620653
80,201812003353,Network Adjustment Requested,00651,5455205.097620653
81,201812004014,Network Adjustment Requested,SB90,5457570.341376837
82,201812004017,Network Adjustment Requested,00707,5458275.339123852
83,201812004019,Network Adjustment Requested,00539,5458275.339123852
84,201812004022,Network Adjustment Requested,00250,5460041.862493468
85,201812004608,Network Adjustment Requested,00039,5462578.015098108
86,201812005620,Network Adjustment Requested,00491,5466739.057436791
87,201812005701,Network Adjustment Requested,00463,5466856.115326169
88,201812005705,Network Adjustment Requested,00744,5466856.115326169
89,201812005707,Network Adjustment Requested,00351,5466856.115326169
90,201812005709,Network Adjustment Requested,00712,5466856.115326169
91,201812005729,Network Adjustment Requested,00431,5466856.115326169
92,201812005731,Network Adjustment Requested,00315,5466856.115326169
93,201812005734,Network Adjustment Requested,00559,5466856.115326169
94,201812006142,Network Adjustment Requested,00413,5466856.115326169
95,201812006945,Network Adjustment Requested,SB83,5466856.115326169
96,201812006954,Network Adjustment Requested,00092,5466856.115326169
97,201812006975,Network Adjustment Requested,SB34,5466856.115326169
98,201812007340,Network Adjustment Requested,00654,5469370.369146926
99,201812007855,Network Adjustment Requested,00577,5469370.369146926
100,201812007920,Network Adjustment Requested,00236,5469370.369146926
101,201812007926,Network Adjustment Requested,00699,5469370.369146926
102,201812007933,Network Adjustment Requested,00347,5469370.369146926
103,201812007946,Network Adjustment Requested,00397,5469370.369146926
104,201812007953,Network Adjustment Requested,000PLT,5469370.369146926
105,201812007956,Network Adjustment Requested,00346,5469370.369146926
106,201812007963,Network Adjustment Requested,00534,5469370.369146926
107,201812007966,Network Adjustment Requested,00624,5469370.369146926
108,201812007973,Network Adjustment Requested,00140,5469370.369146926
109,201812008427,Network Adjustment Requested,00117,5469455.346012702
110,201812008735,Network Adjustment Requested,00701,5469690.049191663
111,201812008739,Network Adjustment Requested,SB94,5469690.049191663
112,201812008756,Network Adjustment Requested,00094,5469690.049191663
113,201812008768,Network Adjustment Requested,00396,5469690.049191663
114,201812009191,Network Adjustment Requested,00200,5469690.049191663
115,201812009214,Network Adjustment Requested,00486,5469690.049191663
116,201812009601,Network Adjustment Requested,00079,5469690.049191663
117,201812009610,Network Adjustment Requested,00728,5469690.049191663
118,20189007162,Network Adjustment Requested,00419,2335004.891919294
119,20191002142,Network Adjustment Requested,00068,2373244.4306747126
120,201812002509,Network Adjustment Requested,00492,2405770.6409104485
121,201812007097,Network Adjustment Requested,00402,4460648.040209117
122,201810001967,Network Adjustment Requested,00028,2191616.0998256304
123,20185009582,Network Adjustment Requested,00663,2109948.1336029745
124,20187004544,Network Adjustment Requested,00374,2156577.9522246793
125,20188000765,Network Adjustment Requested,052PRI,2157544.9855058296
126,20188009031,Network Adjustment Requested,00484,2168162.999340345
127,20188009692,Network Adjustment Requested,00340,2168162.999340345
128,20188010639,Network Adjustment Requested,00061,2168162.999340345
129,20189000371,Network Adjustment Requested,00030,2168162.999340345
130,20189000402,Network Adjustment Requested,00726,2168162.999340345
131,20189002400,Network Adjustment Requested,00738,2168162.999340345
132,20189005407,Network Adjustment Requested,00031,2168162.999340345
133,20189006649,Network Adjustment Requested,00132,2168162.999340345
134,20189008425,Network Adjustment Requested,00139,2168162.999340345
135,20189008586,Network Adjustment Requested,00062,2174971.8812266905
136,20189008689,Network Adjustment Requested,00019,2174971.8812266905
137,20189008816,Network Adjustment Requested,SB51,2174971.8812266905
138,20189009257,Network Adjustment Requested,00008,2183441.683381662
139,20189009910,Network Adjustment Requested,00070,2190109.2611284014
140,20191000209,Network Adjustment Requested,00291,2195327.7215334596
141,20191000553,Network Adjustment Requested,00000,2195327.7215334596
142,20191000790,Network Adjustment Requested,00609,2195327.7215334596
143,20191002131,Network Adjustment Requested,SB24,2195327.7215334596
144,20191002920,Network Adjustment Requested,00021,2195327.7215334596
145,20191003000,Network Adjustment Requested,00444,2195327.7215334596
146,20191003329,Network Adjustment Requested,00741,2195327.7215334596
147,20191003568,Network Adjustment Requested,00005,2195327.7215334596
148,20191004441,Network Adjustment Requested,00476,2195327.7215334596
149,20191005001,Network Adjustment Requested,00708,2195327.7215334596
150,20191005329,Network Adjustment Requested,00455,2195327.7215334596
151,20191006337,Network Adjustment Requested,00096,2195327.7215334596
152,20191007518,Network Adjustment Requested,00023,2195327.7215334596
153,20191011049,Network Adjustment Requested,00228,2195327.7215334596
154,20191011549,Network Adjustment Requested,00603,2195327.7215334596
155,20191012166,Network Adjustment Requested,SB10,2195327.7215334596
156,20191012780,Network Adjustment Requested,00448,2195327.7215334596
157,20191013061,Network Adjustment Requested,00189,2195327.7215334596
158,20191013102,Network Adjustment Requested,00574,2195327.7215334596
159,20191014784,Network Adjustment Requested,00037,2195327.7215334596
160,20192000986,Network Adjustment Requested,00003,2199810.8078027703
161,20192003489,Network Adjustment Requested,00040,2203865.892154919
162,20192003696,Network Adjustment Requested,00407,2203865.892154919
163,20192004651,Network Adjustment Requested,00312,2203865.892154919
164,20192005255,Network Adjustment Requested,00725,2203865.892154919
165,20192007230,Network Adjustment Requested,00916,2203865.892154919
166,201810000906,Network Adjustment Requested,00427,2203865.892154919
167,201810001008,Network Adjustment Requested,00035,2204366.9102085615
168,201810001100,Network Adjustment Requested,00018,2206280.53305279
169,201810001409,Network Adjustment Requested,00001,2206280.53305279
170,201810004385,Network Adjustment Requested,00020,2206280.53305279
171,201810004673,Network Adjustment Requested,00917,2206280.53305279
172,201810005049,Network Adjustment Requested,00610,2212476.424474054
173,201810005640,Network Adjustment Requested,00575,2212476.424474054
174,201810006137,Network Adjustment Requested,00562,2212476.424474054
175,201810006391,Network Adjustment Requested,SB31,2212476.424474054
176,201810007064,Network Adjustment Requested,00145,2212476.424474054
177,201810007093,Network Adjustment Requested,00118,2212476.424474054
178,201810007857,Network Adjustment Requested,SB22,2212476.424474054
179,201810008612,Network Adjustment Requested,00489,2212476.424474054
180,201810008643,Network Adjustment Requested,00535,2212476.424474054
181,201810009569,Network Adjustment Requested,00700,2212476.424474054
182,201810009940,Network Adjustment Requested,00480,2212476.424474054
183,201810010101,Network Adjustment Requested,00036,2212476.424474054
184,201810010800,Network Adjustment Requested,00238,2212476.424474054
185,201810011626,Network Adjustment Requested,00069,2212476.424474054
186,201810011716,Network Adjustment Requested,00420,2212476.424474054
187,201811001390,Network Adjustment Requested,SB70,2213781.8419094756
188,201811001499,Network Adjustment Requested,00026,2218666.991593032
189,201811001633,Network Adjustment Requested,00358,2218666.991593032
190,201811003794,Network Adjustment Requested,00002,2218666.991593032
191,201811005435,Network Adjustment Requested,00234,2218666.991593032
192,201811007226,Network Adjustment Requested,00653,4035818.1837529154
193,201811008300,Network Adjustment Requested,00218,2218666.991593032
194,201811008764,Network Adjustment Requested,00082,2218666.991593032
195,201811009679,Network Adjustment Requested,00049,4058057.4326534127
196,201811010891,Network Adjustment Requested,00439,2218911.3573743138
197,201812001467,Network Adjustment Requested,00009,2218911.3573743138
198,201812002227,Network Adjustment Requested,00075,2218911.3573743138
199,201812003314,Network Adjustment Requested,00550,2219080.2811596002
200,201812004506,Network Adjustment Requested,00033,2220483.485140875
201,201812004929,Network Adjustment Requested,00024,2220483.485140875
202,201812005467,Network Adjustment Requested,00872,2226679.37656214
203,201812005940,Network Adjustment Requested,00015,2226679.37656214
204,20189002723,Network Adjustment Requested,SB30,4515433.08163682
205,20189002828,Network Adjustment Requested,00225,4515433.08163682
206,20189003136,Network Adjustment Requested,00428,4516738.49907224
207,20189003322,Network Adjustment Requested,00261,4557846.8883176595
208,20189003351,Network Adjustment Requested,00580,4565507.273775554
209,20189003371,Network Adjustment Requested,00368,4570790.998570706
210,20189003890,Network Adjustment Requested,SB20,4570790.998570706
211,20189003900,Network Adjustment Requested,00065,4575371.131658109
212,20189004320,Network Adjustment Requested,SB78,4576584.9257259015
213,20189004336,Network Adjustment Requested,00038,4576584.9257259015
214,20189004872,Network Adjustment Requested,00520,4577230.856842521
215,20189004938,Network Adjustment Requested,00059,4577738.467057253
216,20189005203,Network Adjustment Requested,00378,4578237.450795945
217,20189005742,Network Adjustment Requested,00876,4589378.158322735
218,20189006111,Network Adjustment Requested,00469,4589378.158322735
219,20189006140,Network Adjustment Requested,00706,4589378.158322735
220,20189006155,Network Adjustment Requested,00093,4589378.158322735
221,20189006197,Network Adjustment Requested,00328,4589553.327693971
222,20189006231,Network Adjustment Requested,00211,4589553.327693971
223,20189006264,Network Adjustment Requested,00010,4589553.327693971
224,20189007283,Network Adjustment Requested,00488,4589553.327693971
225,20189007344,Network Adjustment Requested,00210,4589553.327693971
226,20189007404,Network Adjustment Requested,00380,4589553.327693971
227,20189007706,Network Adjustment Requested,00581,4589553.327693971
228,20189007725,Network Adjustment Requested,00134,4590269.948619727
229,20191004397,Network Adjustment Requested,00332,4590287.50461787
230,20191005152,Network Adjustment Requested,00223,4590372.481483646
231,20191006340,Network Adjustment Requested,00612,4590607.184662603
232,20191006365,Network Adjustment Requested,00743,4590789.254013423
233,20191006373,Network Adjustment Requested,00422,4590789.254013423
234,20191006392,Network Adjustment Requested,SB99,4591026.776661008
235,20191006411,Network Adjustment Requested,00384,4591026.776661008
236,20191006422,Network Adjustment Requested,00263,4591502.424268484
237,20191007177,Network Adjustment Requested,00190,4592092.682812994
238,20191009210,Network Adjustment Requested,00762,4592092.682812994
239,20191010210,Network Adjustment Requested,00460,4592092.682812994
240,20191013703,Network Adjustment Requested,00027,4589570.822180275
241,20191013850,Network Adjustment Requested,00607,4592148.355385103
242,20192002690,Network Adjustment Requested,00918,4592541.159040611
243,20192003413,Network Adjustment Requested,SB21,4592812.485765655
244,20192003418,Network Adjustment Requested,SB77,4592812.485765655
245,20192003460,Network Adjustment Requested,00591,4593460.770940525
246,20192005292,Network Adjustment Requested,00423,4593770.185380479
247,20192005787,Network Adjustment Requested,00513,4593973.945385117
248,20192006253,Network Adjustment Requested,SB11,4594180.194223855
249,20192006279,Network Adjustment Requested,SB91,4594180.194223855
250,20192006787,Network Adjustment Requested,00186,4594180.194223855
251,20192007478,Network Adjustment Requested,00648,4594228.182128055
252,20192007493,Network Adjustment Requested,00133,4594228.182128055
253,20192009815,Network Adjustment Requested,00335,4594276.351577662
254,20192009839,Network Adjustment Requested,00567,4594276.351577662
255,20192009845,Network Adjustment Requested,00142,4594276.351577662
256,201810001783,Network Adjustment Requested,00308,4594276.351577662
257,201810003518,Network Adjustment Requested,00333,4595234.051192487
258,201810003693,Network Adjustment Requested,00545,4597207.930379935
259,201810003845,Network Adjustment Requested,00214,4599537.518227797
260,201810004486,Network Adjustment Requested,00536,4599537.518227797
261,201810005827,Network Adjustment Requested,SB76,4599537.518227797
262,201810007115,Network Adjustment Requested,00050,4600573.819198286
263,201810007729,Network Adjustment Requested,00412,4600573.819198286
264,201810010545,Network Adjustment Requested,00073,4600986.343384316
265,201811007160,Network Adjustment Requested,00055,4600986.343384316
266,201811009602,Network Adjustment Requested,00870,4601120.1588647235
267,201812002073,Network Adjustment Requested,00630,4601318.898530235
268,201812002465,Network Adjustment Requested,SB32,4601318.898530235
269,201812002469,Network Adjustment Requested,00366,4601706.146336978
270,201812002475,Network Adjustment Requested,000PBC,4603170.012148984
271,201812002616,Network Adjustment Requested,00662,4605783.1454514
272,201812003793,Network Adjustment Requested,00125,4606276.760322494
273,201812003795,Network Adjustment Requested,00217,4607580.603883774
274,201812008382,Network Adjustment Requested,SB60,4610387.728472794
275,201812009376,Network Adjustment Requested,00080,4611424.029443284
276,20177004025,Network Adjustment Requested,00356,1978730.69049833
277,20178003199,Network Adjustment Requested,00056,1978730.69049833
278,20179000885,Network Adjustment Requested,00425,1978730.69049833
279,20179001451,Network Adjustment Requested,00006,1980129.0412072784
280,20181012611,Network Adjustment Requested,00222,2058725.6969517283
281,20182001279,Network Adjustment Requested,00471,2058725.6969517283
282,20185002032,Network Adjustment Requested,00391,2070539.8819263063
283,20185005618,Network Adjustment Requested,00478,2070849.4244938504
284,20187005975,Network Adjustment Requested,00089,2070849.4244938504
285,20187008848,Network Adjustment Requested,00016,2071573.072088912
286,20188004775,Network Adjustment Requested,00047,3503878.4696999243
287,20188005162,Network Adjustment Requested,00029,2071573.072088912
288,20188009482,Network Adjustment Requested,00375,3507108.381631431
289,20188009618,Network Adjustment Requested,00175,2071573.072088912
290,20188010018,Network Adjustment Requested,00241,2071666.0053624392
291,20188010025,Network Adjustment Requested,00555,2071666.0053624392
292,20188010092,Network Adjustment Requested,00590,2071666.0053624392
293,20189000276,Network Adjustment Requested,00227,2073111.6404834779
294,20189000774,Network Adjustment Requested,00466,2073111.6404834779
295,20189000981,Network Adjustment Requested,00745,2073111.6404834779
296,20189000982,Network Adjustment Requested,00722,2074147.941453967
297,20189001105,Network Adjustment Requested,00453,2074147.941453967
298,20189001434,Network Adjustment Requested,00505,2074147.941453967
299,20189001818,Network Adjustment Requested,00054,2074147.941453967
300,20189001860,Network Adjustment Requested,00443,2074147.941453967
301,20189001935,Network Adjustment Requested,00230,2074147.941453967
302,20189001951,Network Adjustment Requested,00379,2074240.8747274943
303,20189002019,Network Adjustment Requested,00543,2074283.051919697
304,20189002433,Network Adjustment Requested,00511,2074283.051919697
305,20189002767,Network Adjustment Requested,00540,2074283.051919697
306,20189002826,Network Adjustment Requested,00496,2074516.2100759542
307,20189002922,Network Adjustment Requested,00208,2074516.2100759542
308,20189003186,Network Adjustment Requested,00013,2082140.5049635211
309,20189004245,Network Adjustment Requested,00058,2083083.8726604835
310,20189004389,Network Adjustment Requested,00696,2083083.8726604835
311,20189004521,Network Adjustment Requested,00620,2141268.063335913
312,20189004630,Network Adjustment Requested,00135,2141268.063335913
313,20189004731,Network Adjustment Requested,00324,2141268.063335913
314,20189004953,Network Adjustment Requested,00097,2141268.063335913
315,20189004973,Network Adjustment Requested,00395,2141268.063335913
316,20189005202,Network Adjustment Requested,00199,2141436.9871211993
317,20189005362,Network Adjustment Requested,SB64,2141436.9871211993
318,20189005508,Network Adjustment Requested,00334,2141436.9871211993
319,20189006011,Network Adjustment Requested,00302,2157766.8800120032
320,20189006333,Network Adjustment Requested,SB13,2196393.2607777
321,20189006355,Network Adjustment Requested,00638,2198381.95193269
322,20189006471,Network Adjustment Requested,00619,2198381.95193269
323,20189006947,Network Adjustment Requested,00393,2210591.675743965
324,20189007033,Network Adjustment Requested,00131,2242408.7748974357
325,20189007069,Network Adjustment Requested,052PLT,2244296.5353390966
326,20189007878,Network Adjustment Requested,00718,2254583.1281001032
327,20189007905,Network Adjustment Requested,00242,2254583.1281001032
328,20189008585,Network Adjustment Requested,00582,2254752.05188539
329,20189009016,Network Adjustment Requested,SB15,2274265.7912033675
330,20189009066,Network Adjustment Requested,00544,2305373.5839099847
331,20189009132,Network Adjustment Requested,00064,2349858.971012202
332,20189009341,Network Adjustment Requested,00017,2349858.971012202
333,20189009745,Network Adjustment Requested,00531,2350027.894797488
334,20191000143,Network Adjustment Requested,00067,2350058.438820244
335,20191000208,Network Adjustment Requested,00733,2350096.51308697
336,20191000507,Network Adjustment Requested,00045,2350265.436872257
337,20191000545,Network Adjustment Requested,00749,2447843.619354128
338,20191000578,Network Adjustment Requested,00052,2447843.619354128
339,20191000815,Network Adjustment Requested,00479,2447843.619354128
340,20191001018,Network Adjustment Requested,00215,2447843.619354128
341,20191001215,Network Adjustment Requested,00148,2447843.619354128
342,20191001318,Network Adjustment Requested,00057,2447843.619354128
343,20191001402,Network Adjustment Requested,00926,2447843.619354128
344,20191001605,Network Adjustment Requested,00645,2447843.619354128
345,20191001618,Network Adjustment Requested,00410,2447843.619354128
346,20191001879,Network Adjustment Requested,00034,2447843.619354128
347,20191002087,Network Adjustment Requested,00193,2447843.619354128
348,20191002188,Network Adjustment Requested,00305,2448012.543139415
349,20191002554,Network Adjustment Requested,00415,2448012.543139415
350,20191002663,Network Adjustment Requested,SB44,2448012.543139415
351,20191002739,Network Adjustment Requested,00753,2448012.543139415
352,20191002923,Network Adjustment Requested,00421,2448012.543139415
353,20191003006,Network Adjustment Requested,00549,2448012.543139415
354,20191003350,Network Adjustment Requested,SB12,2448012.543139415
355,20191003679,Network Adjustment Requested,00487,2448012.543139415
356,20191003725,Network Adjustment Requested,00041,2448012.543139415
357,20191004068,Network Adjustment Requested,00566,2448012.543139415
358,20191004232,Network Adjustment Requested,00588,2469017.6025321665
359,20191004281,Network Adjustment Requested,00360,2470360.3640841846
360,20191004366,Network Adjustment Requested,00563,2470360.3640841846
361,20191004926,Network Adjustment Requested,SB42,2470360.3640841846
362,20191005429,Network Adjustment Requested,00573,2470360.3640841846
363,20191005495,Network Adjustment Requested,00203,2485939.368700549
364,20191005718,Network Adjustment Requested,00576,2485939.368700549
365,20191006002,Network Adjustment Requested,00595,2485939.368700549
366,20191006163,Network Adjustment Requested,00875,2485939.368700549
367,20191006247,Network Adjustment Requested,00044,2485939.368700549
368,20191006261,Network Adjustment Requested,00578,2485939.368700549
369,20191006292,Network Adjustment Requested,00756,2486108.292485836
370,20191006688,Network Adjustment Requested,00495,2486108.292485836
371,20191006937,Network Adjustment Requested,00646,2486108.292485836
372,20191007013,Network Adjustment Requested,00361,2486108.292485836
373,20191007168,Network Adjustment Requested,00206,2486108.292485836
374,20191007190,Network Adjustment Requested,00086,2486108.292485836
375,20191007280,Network Adjustment Requested,00192,2486108.292485836
376,20191007485,Network Adjustment Requested,00473,2486108.292485836
377,20191007834,Network Adjustment Requested,00564,2486108.292485836
378,20191007962,Network Adjustment Requested,00400,2486108.292485836
379,20191008019,Network Adjustment Requested,SB52,2486108.292485836
380,20191008222,Network Adjustment Requested,00138,2486108.292485836
381,20191008596,Network Adjustment Requested,00012,2486138.8365085907
382,20191008734,Network Adjustment Requested,00592,2486176.910775318
383,20191009000,Network Adjustment Requested,00116,2486176.910775318
384,20191009347,Network Adjustment Requested,00307,2486176.910775318
385,20191009453,Network Adjustment Requested,00071,2486176.910775318
386,20191009462,Network Adjustment Requested,00518,2486176.910775318
387,20191009770,Network Adjustment Requested,00191,2486307.7602938777
388,20191010048,Network Adjustment Requested,00565,2486345.834560604
389,20191010271,Network Adjustment Requested,00385,2486345.834560604
390,20191010590,Network Adjustment Requested,00313,2486345.834560604
391,20191010639,Network Adjustment Requested,00522,2504177.416678058
392,20191010752,Network Adjustment Requested,00705,2504177.416678058
393,20191011075,Network Adjustment Requested,00553,2504177.416678058
394,20191011286,Network Adjustment Requested,00569,2504346.340463345
395,20191011606,Network Adjustment Requested,00925,2504346.340463345
396,20191011856,Network Adjustment Requested,SB65,2504346.340463345
397,20191011910,Network Adjustment Requested,00470,2504346.340463345
398,20191011984,Network Adjustment Requested,00053,2566123.247517582
399,20191012475,Network Adjustment Requested,SB46,2504346.340463345
400,20191012649,Network Adjustment Requested,SB85,2504346.340463345
401,20191012711,Network Adjustment Requested,00394,4190103.4596318337
402,20191012919,Network Adjustment Requested,00174,2518209.335391664
403,20191014336,Network Adjustment Requested,00557,2518378.259176951
404,20191014387,Network Adjustment Requested,00604,2518378.259176951
405,20191014417,Network Adjustment Requested,00440,2548972.79600258
406,20191014419,Network Adjustment Requested,00221,2548972.79600258
407,20191014456,Network Adjustment Requested,SB23,2548972.79600258
408,20191014637,Network Adjustment Requested,00004,2549141.719787867
409,20191014864,Network Adjustment Requested,00483,2549141.719787867
410,20191015027,Network Adjustment Requested,00414,2549141.719787867
411,20191015033,Network Adjustment Requested,00195,2549141.719787867
412,20192000227,Network Adjustment Requested,00516,4202138.656590278
413,20192000388,Network Adjustment Requested,00571,2554725.4951122785
414,20192001138,Network Adjustment Requested,00885,2554725.4951122785
415,20192001602,Network Adjustment Requested,00481,2554894.4188975645
416,20192001784,Network Adjustment Requested,00538,2571253.736247045
417,20192002180,Network Adjustment Requested,00640,2573545.7347797994
418,20192002474,Network Adjustment Requested,00240,2586995.4618033934
419,20192002491,Network Adjustment Requested,SB02,2586995.4618033934
420,20192002647,Network Adjustment Requested,DT03,2611845.254958666
421,20192002680,Network Adjustment Requested,00329,2666775.1884867456
422,20192002848,Network Adjustment Requested,00322,2666775.1884867456
423,20192003066,Network Adjustment Requested,00477,2681506.1000963314
424,20192003561,Network Adjustment Requested,00871,2681506.1000963314
425,20192003663,Network Adjustment Requested,SB14,2709130.527994745
426,20192003950,Network Adjustment Requested,00220,2709265.0338419583
427,20192004595,Network Adjustment Requested,00874,2709433.957627245
428,20192004755,Network Adjustment Requested,00341,4278022.091178946
429,20192005235,Network Adjustment Requested,00583,2709433.957627245
430,20192005739,Network Adjustment Requested,00401,4278420.036697393
431,20192006308,Network Adjustment Requested,00490,2709433.957627245
432,20192007266,Network Adjustment Requested,00589,2709433.957627245
433,20192007278,Network Adjustment Requested,00510,2709433.957627245
434,20192007938,Network Adjustment Requested,00119,2709433.957627245
435,20192008088,Network Adjustment Requested,00438,2762174.928850125
436,20192009704,Network Adjustment Requested,00441,2762174.928850125
437,20192010182,Network Adjustment Requested,00501,2762478.3584826253
438,201810000297,Network Adjustment Requested,00113,2762478.3584826253
439,201810000307,Network Adjustment Requested,00625,2764601.433230093
440,201810000392,Network Adjustment Requested,00884,2764601.433230093
441,201810001185,Network Adjustment Requested,00533,2764601.433230093
442,201810001403,Network Adjustment Requested,00137,2764601.433230093
443,201810001807,Network Adjustment Requested,00532,2764601.433230093
444,201810001998,Network Adjustment Requested,00123,2764601.433230093
445,201810002315,Network Adjustment Requested,00509,2774064.5434452086
446,201810002393,Network Adjustment Requested,00122,2774064.5434452086
447,201810002953,Network Adjustment Requested,00447,2774064.5434452086
448,201810003116,Network Adjustment Requested,00542,2774064.5434452086
449,201810003181,Network Adjustment Requested,00136,2774064.5434452086
450,201810003324,Network Adjustment Requested,00641,2776187.6181926783
451,201810003432,Network Adjustment Requested,00349,2776187.6181926783
