,SR_Number,Change_Date+Time,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country
0,1-364285768,2010-03-31T15:59:42+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD582,fr,France
1,1-364285768,2010-03-31T16:00:56+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD582,fr,France
2,1-364285768,2010-03-31T16:45:48+01:00,Queued,Awaiting Assignment,A2_5,Org line A2,V5 3rd,Medium,PROD582,fr,France
3,1-364285768,2010-04-06T15:44:07+01:00,Accepted,In Progress,A2_5,Org line A2,V5 3rd,Medium,PROD582,fr,France
4,1-364285768,2010-04-06T15:44:38+01:00,Queued,Awaiting Assignment,A2_4,Org line A2,V30,Medium,PROD582,fr,France
0,1-467153946,2011-01-31T11:12:22+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden
1,1-467153946,2011-01-31T11:18:44+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden
2,1-467153946,2011-01-31T11:19:05+01:00,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
3,1-467153946,2011-01-31T12:59:46+01:00,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
4,1-467153946,2011-01-31T14:37:55+01:00,Accepted,Wait - User,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
5,1-467153946,2011-02-03T08:28:58+01:00,Queued,Awaiting Assignment,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden
6,1-467153946,2011-02-07T12:37:33+01:00,Accepted,In Progress,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden
7,1-467153946,2011-02-07T12:38:25+01:00,Accepted,Wait - Implementation,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden
8,1-467153946,2011-03-09T11:08:06+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
9,1-467153946,2011-03-09T11:27:05+01:00,Accepted,Wait - Implementation,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
10,1-467153946,2011-03-10T11:53:10+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
11,1-467153946,2011-03-10T11:53:22+01:00,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
12,1-467153946,2011-03-10T12:17:22+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
13,1-467153946,2011-03-10T12:21:51+01:00,Accepted,Wait - User,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
0,1-503573772,2011-02-24T16:17:46+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium
1,1-503573772,2011-02-24T16:17:52+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium
2,1-503573772,2011-02-24T16:19:35+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD706,nl,Belgium
3,1-503573772,2011-02-28T13:46:38+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands
4,1-503573772,2011-02-28T13:47:22+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D5,Medium,PROD706,nl,Netherlands
0,1-504538555,2011-02-28T14:13:33+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
1,1-504538555,2011-02-28T14:13:40+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
2,1-504538555,2011-02-28T14:17:09+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD706,nl,Belgium
3,1-504538555,2011-03-01T15:59:36+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands
4,1-504538555,2011-03-01T16:00:16+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD706,nl,Netherlands
5,1-504538555,2011-03-01T18:34:25+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
0,1-506071646,2011-03-07T10:42:08+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
1,1-506071646,2011-03-07T10:44:43+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
2,1-506071646,2011-03-07T10:51:59+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
3,1-506071646,2011-03-07T10:52:51+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
4,1-506071646,2011-03-07T11:48:31+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
5,1-506071646,2011-03-07T11:55:20+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
6,1-506071646,2011-03-07T12:03:37+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
7,1-506071646,2011-03-07T12:04:35+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
8,1-506071646,2011-03-07T13:22:56+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
9,1-506071646,2011-03-07T13:24:38+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
10,1-506071646,2011-03-07T14:13:15+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
11,1-506071646,2011-03-07T14:13:58+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
12,1-506071646,2011-03-08T06:53:06+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
13,1-506071646,2011-03-08T06:55:54+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
14,1-506071646,2011-03-08T09:16:24+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
15,1-506071646,2011-03-08T09:18:18+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
16,1-506071646,2011-03-08T09:20:32+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
17,1-506071646,2011-03-08T09:22:46+01:00,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
18,1-506071646,2011-03-09T07:16:14+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
19,1-506071646,2011-03-09T07:17:16+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
20,1-506071646,2011-03-09T17:03:41+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
0,1-512795200,2011-04-04T15:51:24+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
1,1-512795200,2011-04-04T15:52:15+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD660,se,Sweden
2,1-512795200,2011-04-04T15:58:11+01:00,Queued,Awaiting Assignment,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
3,1-512795200,2011-04-04T16:11:27+01:00,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
4,1-512795200,2011-04-04T16:11:37+01:00,Accepted,Assigned,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
5,1-512795200,2011-04-04T16:18:04+01:00,Accepted,In Progress,V3_2,Org line C,S43,Medium,PROD660,se,Sweden
