,SR_Number,Change_Date+Time,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country
0,1-364285768,2010-03-31T15:59:42+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD582,fr,France
1,1-364285768,2010-03-31T16:00:56+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD582,fr,France
2,1-364285768,2010-03-31T16:45:48+01:00,Queued,Awaiting Assignment,A2_5,Org line A2,V5 3rd,Medium,PROD582,fr,France
3,1-364285768,2010-04-06T15:44:07+01:00,Accepted,In Progress,A2_5,Org line A2,V5 3rd,Medium,PROD582,fr,France
4,1-364285768,2010-04-06T15:44:38+01:00,Queued,Awaiting Assignment,A2_4,Org line A2,V30,Medium,PROD582,fr,France
5,1-364285768,2010-04-06T15:44:47+01:00,Accepted,In Progress,A2_5,Org line A2,V13 2nd 3rd,Medium,PROD582,fr,France
6,1-364285768,2010-04-06T15:44:51+01:00,Completed,Resolved,A2_5,Org line A2,V13 2nd 3rd,Medium,PROD582,fr,France
7,1-364285768,2010-04-06T15:45:07+01:00,Queued,Awaiting Assignment,A2_4,Org line A2,V30,Medium,PROD582,fr,France
8,1-364285768,2010-04-08T11:52:23+01:00,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD582,fr,France
9,1-467153946,2011-01-31T11:12:22+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden
10,1-467153946,2011-01-31T11:18:44+01:00,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden
11,1-467153946,2011-01-31T11:19:05+01:00,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
12,1-467153946,2011-01-31T12:59:46+01:00,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
13,1-467153946,2011-01-31T14:37:55+01:00,Accepted,Wait - User,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
14,1-467153946,2011-02-03T08:28:58+01:00,Queued,Awaiting Assignment,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden
15,1-467153946,2011-02-07T12:37:33+01:00,Accepted,In Progress,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden
16,1-467153946,2011-02-07T12:38:25+01:00,Accepted,Wait - Implementation,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden
17,1-467153946,2011-03-09T11:08:06+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
18,1-467153946,2011-03-09T11:27:05+01:00,Accepted,Wait - Implementation,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
19,1-467153946,2011-03-10T11:53:10+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
20,1-467153946,2011-03-10T11:53:22+01:00,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
21,1-467153946,2011-03-10T12:17:22+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
22,1-467153946,2011-03-10T12:21:51+01:00,Accepted,Wait - User,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
23,1-467153946,2011-03-10T14:45:27+01:00,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
24,1-467153946,2011-03-14T07:56:20+01:00,Accepted,Assigned,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
25,1-467153946,2011-03-14T07:58:01+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
26,1-467153946,2011-03-14T07:58:55+01:00,Accepted,Wait,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
27,1-467153946,2011-04-05T16:59:52+01:00,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden
28,1-467153946,2011-04-05T17:02:01+01:00,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
29,1-467153946,2011-04-06T09:32:07+01:00,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
30,1-467153946,2011-04-06T10:47:50+01:00,Accepted,Assigned,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden
31,1-503573772,2011-02-24T16:17:46+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium
32,1-503573772,2011-02-24T16:17:52+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium
33,1-503573772,2011-02-24T16:19:35+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD706,nl,Belgium
34,1-503573772,2011-02-28T13:46:38+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands
35,1-503573772,2011-02-28T13:47:22+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D5,Medium,PROD706,nl,Netherlands
36,1-503573772,2011-02-28T13:48:12+01:00,Accepted,In Progress,A2_1,Org line C,D5,Medium,PROD706,nl,Belgium
37,1-503573772,2011-02-28T13:53:24+01:00,Queued,Awaiting Assignment,,Org line V7n,V32 2nd,Medium,PROD706,nl,Belgium
38,1-503573772,2011-05-04T17:07:37+01:00,Accepted,In Progress,,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands
39,1-503573772,2012-02-17T14:49:34+01:00,Queued,Awaiting Assignment,,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands
40,1-504538555,2011-02-28T14:13:33+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
41,1-504538555,2011-02-28T14:13:40+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
42,1-504538555,2011-02-28T14:17:09+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD706,nl,Belgium
43,1-504538555,2011-03-01T15:59:36+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD706,nl,Netherlands
44,1-504538555,2011-03-01T16:00:16+01:00,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD706,nl,Netherlands
45,1-504538555,2011-03-01T18:34:25+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
46,1-504538555,2011-03-01T18:46:00+01:00,Accepted,Assigned,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
47,1-504538555,2011-03-02T07:42:49+01:00,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD706,nl,Belgium
48,1-504538555,2011-03-02T07:44:11+01:00,Queued,Awaiting Assignment,,Org line V7n,V32 2nd,Medium,PROD706,nl,Belgium
49,1-504538555,2011-05-04T17:08:55+01:00,Accepted,In Progress,,Org line V7n,V32 2nd,Medium,PROD706,nl,Netherlands
50,1-506071646,2011-03-07T10:42:08+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
51,1-506071646,2011-03-07T10:44:43+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
52,1-506071646,2011-03-07T10:51:59+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
53,1-506071646,2011-03-07T10:52:51+01:00,Queued,Awaiting Assignment,,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND
54,1-506071646,2011-03-07T11:48:31+01:00,Accepted,In Progress,,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands
55,1-506071646,2011-03-07T11:55:20+01:00,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands
56,1-506071646,2011-03-07T12:03:37+01:00,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND
