REQUEST_ID,CLOSURE_TYPE,CLOSURE_REASON,ACTIVITY,END_DATE,CE_UO,ROLE,time_from_start,time_from_previous_event(start),daytime,weekday,# ACTIVITY=Service closure Request with network responsibility,# ACTIVITY=Service closure Request with BO responsibility,# ACTIVITY=Pending Request for Reservation Closure,# ACTIVITY=Pending Liquidation Request,# ACTIVITY=Request completed with account closure,# ACTIVITY=Request created,# ACTIVITY=Authorization Requested,# ACTIVITY=Evaluating Request (NO registered letter),# ACTIVITY=Network Adjustment Requested,# ACTIVITY=Pending Request for acquittance of heirs,# ACTIVITY=Request deleted,# ACTIVITY=Back-Office Adjustment Requested,# ACTIVITY=Evaluating Request (WITH registered letter),# ACTIVITY=Request completed with customer recovery,# ACTIVITY=Pending Request for Network Information,lead_time
20175000168,Client Recess,1 - Client lost,Service closure Request with network responsibility,1539175786000,00044,APPLICANT,0.0,0.0,53292.0,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569699.0
20175000168,Client Recess,1 - Client lost,Service closure Request with BO responsibility,1539602104000,BOC,BACK-OFFICE,94.0,94.0,53386.0,Wednesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569699.0
20175000168,Client Recess,1 - Client lost,Pending Request for Reservation Closure,1539602345000,BOC,BACK-OFFICE,426412.0,426318.0,47704.0,Monday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,569699.0
20175000168,Client Recess,1 - Client lost,Pending Liquidation Request,1539745391000,BOC,BACK-OFFICE,426653.0,241.0,47945.0,Monday,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,569699.0
20178001628,Bank Recess,missing,Request created,1540492610000,00591,APPLICANT,0.0,0.0,47109.0,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38647901.0
20178006939,Client Recess,4 - Open new bank account. Same dip,Request created,1503589888000,00613,APPLICANT,0.0,0.0,61391.0,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33739221.0
20178006939,Client Recess,4 - Open new bank account. Same dip,Service closure Request with network responsibility,1536841244000,missing,APPLICANT,2897.0,2897.0,64288.0,Thursday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33739221.0
20178006939,Client Recess,4 - Open new bank account. Same dip,Authorization Requested,1536841658000,00075,DIRECTOR,33254253.0,33251356.0,51644.0,Thursday,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33739221.0
20178006939,Client Recess,4 - Open new bank account. Same dip,Service closure Request with BO responsibility,1537179207000,BOC,BACK-OFFICE,33254667.0,414.0,52058.0,Thursday,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,33739221.0
20178006939,Client Recess,4 - Open new bank account. Same dip,Pending Request for Reservation Closure,1537179302000,BOC,BACK-OFFICE,33592216.0,337549.0,44007.0,Monday,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,33739221.0
20178006939,Client Recess,4 - Open new bank account. Same dip,Pending Liquidation Request,1537326212000,BOC,BACK-OFFICE,33592311.0,95.0,44102.0,Monday,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,33739221.0
20179002675,Client Recess,1 - Client lost,Request created,1505293497000,00414,APPLICANT,0.0,0.0,39827.0,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34451969.0
20179002675,Client Recess,1 - Client lost,Evaluating Request (NO registered letter),1538560404000,00414,DIRECTOR,70.0,70.0,39897.0,Wednesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34451969.0
20179002675,Client Recess,1 - Client lost,Service closure Request with network responsibility,1538577716000,00414,APPLICANT,33284240.0,33284170.0,60067.0,Wednesday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34451969.0
20179002675,Client Recess,1 - Client lost,Service closure Request with BO responsibility,1539611755000,BOC,BACK-OFFICE,33284289.0,49.0,60116.0,Wednesday,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,34451969.0
20179002675,Client Recess,1 - Client lost,Pending Request for Reservation Closure,1539611932000,BOC,BACK-OFFICE,34318328.0,1034039.0,57355.0,Monday,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,34451969.0
20179002675,Client Recess,1 - Client lost,Pending Liquidation Request,1539745396000,BOC,BACK-OFFICE,34318505.0,177.0,57532.0,Monday,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,34451969.0
20179003319,Client Recess,2 - Keep bank account. Same dip,Request created,1505221056000,SB22,APPLICANT,0.0,0.0,53435.0,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43506746.0
20179003319,Client Recess,2 - Keep bank account. Same dip,Service closure Request with network responsibility,1506076526000,missing,APPLICANT,421.0,421.0,53856.0,Tuesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43506746.0
20179003319,Client Recess,2 - Keep bank account. Same dip,Authorization Requested,1548323673000,00130,DIRECTOR,855891.0,855470.0,45326.0,Friday,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43506746.0
20179003319,Client Recess,2 - Keep bank account. Same dip,Service closure Request with BO responsibility,1548422946000,BOC,BACK-OFFICE,43099438.0,42243547.0,39273.0,Thursday,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,43506746.0
20179003319,Client Recess,2 - Keep bank account. Same dip,Pending Request for Reservation Closure,1548422992000,BOC,BACK-OFFICE,43198711.0,99273.0,52146.0,Friday,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,43506746.0
20179003319,Client Recess,2 - Keep bank account. Same dip,Pending Liquidation Request,1548730981000,BOC,BACK-OFFICE,43198757.0,46.0,52192.0,Friday,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,43506746.0
20181000815,Inheritance,missing,Request created,1514908033000,00748,APPLICANT,0.0,0.0,60313.0,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25380109.0
20181000815,Inheritance,missing,Service closure Request with network responsibility,1514908100000,missing,APPLICANT,120.0,120.0,60433.0,Tuesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25380109.0
20181000815,Inheritance,missing,Authorization Requested,1539194179000,00870,DIRECTOR,187.0,67.0,60500.0,Tuesday,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25380109.0
20181000815,Inheritance,missing,Service closure Request with BO responsibility,1539953319000,BOC,BACK-OFFICE,24289866.0,24289679.0,71779.0,Wednesday,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,25380109.0
20181000815,Inheritance,missing,Pending Request for Reservation Closure,1539953496000,BOC,BACK-OFFICE,25049006.0,759140.0,53319.0,Friday,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,25380109.0
20181000815,Inheritance,missing,Pending Liquidation Request,1540263784000,BOC,BACK-OFFICE,25049183.0,177.0,53496.0,Friday,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,25380109.0
20181000815,Inheritance,missing,Pending Request for acquittance of heirs,1540284422000,BOC,BACK-OFFICE,25359471.0,310288.0,18184.0,Tuesday,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,25380109.0
20181000902,Inheritance,missing,Request created,1514910721000,00420,APPLICANT,0.0,0.0,63083.0,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34706037.0
20181000902,Inheritance,missing,Service closure Request with network responsibility,1514910757000,missing,APPLICANT,38.0,38.0,63121.0,Tuesday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34706037.0
20181000902,Inheritance,missing,Authorization Requested,1514911846000,00034,DIRECTOR,74.0,36.0,63157.0,Tuesday,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34706037.0
20181000902,Inheritance,missing,Service closure Request with BO responsibility,1515157492000,BOC,BACK-OFFICE,1163.0,1089.0,64246.0,Tuesday,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,34706037.0
20181000902,Inheritance,missing,Network Adjustment Requested,1548850321000,00034,APPLICANT,246809.0,245646.0,50692.0,Friday,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,34706037.0
20181000902,Inheritance,missing,Service closure Request with BO responsibility,1549456466000,BOC,BACK-OFFICE,33939638.0,33692829.0,47521.0,Wednesday,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,34706037.0
20181000902,Inheritance,missing,Pending Request for Reservation Closure,1549456513000,BOC,BACK-OFFICE,34545783.0,606145.0,48866.0,Wednesday,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,34706037.0
20181000902,Inheritance,missing,Pending Liquidation Request,1549616720000,BOC,BACK-OFFICE,34545830.0,47.0,48913.0,Wednesday,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,34706037.0
20181001184,Client Recess,missing,Request created,1547635830000,00342,APPLICANT,0.0,0.0,40398.0,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32661432.0
20181002993,Client Recess,1 - Client lost,Request created,1515148002000,00644,APPLICANT,0.0,0.0,41140.0,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21686617.0
20181002993,Client Recess,1 - Client lost,Evaluating Request (NO registered letter),1515163605000,SB94,DIRECTOR,62.0,62.0,41202.0,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21686617.0
20181002993,Client Recess,1 - Client lost,Service closure Request with network responsibility,1535972579000,00427,APPLICANT,20399926.0,20399864.0,50666.0,Wednesday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,21686617.0
20181002993,Client Recess,1 - Client lost,Service closure Request with BO responsibility,1536664907000,BOC,BACK-OFFICE,20828239.0,428313.0,46979.0,Monday,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,21686617.0
20181002993,Client Recess,1 - Client lost,Pending Request for Reservation Closure,1536665014000,BOC,BACK-OFFICE,21520567.0,692328.0,48107.0,Tuesday,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,21686617.0
20181002993,Client Recess,1 - Client lost,Pending Liquidation Request,1536807868000,BOC,BACK-OFFICE,21520674.0,107.0,48214.0,Tuesday,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,21686617.0
20181002993,Client Recess,1 - Client lost,Back-Office Adjustment Requested,1536830957000,BOC,BACK-OFFICE,21663528.0,142854.0,18268.0,Thursday,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,21686617.0
20181003025,Client Recess,1 - Client lost,Request created,1515148604000,SB23,APPLICANT,0.0,0.0,41786.0,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21662886.0
20181003025,Client Recess,1 - Client lost,Evaluating Request (NO registered letter),1515163540000,SB94,DIRECTOR,14910.0,14910.0,56696.0,Friday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21662886.0
20181003025,Client Recess,1 - Client lost,Service closure Request with network responsibility,1535972545000,00427,APPLICANT,260931.0,246021.0,43517.0,Monday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,21662886.0
20181003025,Client Recess,1 - Client lost,Service closure Request with BO responsibility,1536665443000,BOC,BACK-OFFICE,20827559.0,20566628.0,46945.0,Monday,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,21662886.0
20181003025,Client Recess,1 - Client lost,Pending Request for Reservation Closure,1536665494000,BOC,BACK-OFFICE,21520457.0,692898.0,48643.0,Tuesday,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,21662886.0
20181003025,Client Recess,1 - Client lost,Pending Liquidation Request,1536807872000,BOC,BACK-OFFICE,21520508.0,51.0,48694.0,Tuesday,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,21662886.0
