SR_Number,Unnamed: 0,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),daytime,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Assigned,# ACTIVITY=Closed,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer,# ACTIVITY=Unmatched,# ACTIVITY=Cancelled,lead_time
1-467153946,17,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,0.0,0.0,4068.742,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,18,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,0.382,0.382,4069.124,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,19,Queued,Awaiting Assignment,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,0.403,0.021,4069.145,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,20,Accepted,In Progress,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,6.444,6.041,4075.186,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,21,Accepted,Wait - User,V3_2,Org line C,N52 2nd,Medium,PROD453,se,Sweden,12.333,5.889,4081.075,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,41260.203
1-467153946,22,Queued,Awaiting Assignment,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,249.396,237.063,4318.138,Friday,3,1,0,0,0,1,0,0,0,0,0,0,0,41260.203
1-467153946,23,Accepted,In Progress,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,609.911,360.515,4678.653,Friday,3,2,0,0,0,1,0,0,0,0,0,0,0,41260.203
1-467153946,24,Accepted,Wait - Implementation,C_6,Org line C,O3 3rd,Medium,PROD453,se,Sweden,609.963,0.052,4678.705,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,41260.203
1-467153946,25,Accepted,In Progress,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3196.544,2586.581,7265.286,Friday,4,2,0,0,0,1,1,0,0,0,0,0,0,41260.203
1-467153946,26,Accepted,Wait - Implementation,E_10,Org line C,G140 2nd,Medium,PROD453,se,Sweden,3197.683,1.139,7266.425,Friday,5,2,0,0,0,1,1,0,0,0,0,0,0,41260.203
