,0
SR_Number,1-516553982
Status,-117.62779578008472
ACTIVITY,-13.196258537360382
Involved_ST_Function_Div,-92.3401976142655
Involved_Org_line_3,153.86814193564194
Involved_ST,73.54255350821929
SR_Latest_Impact,643.3846383665336
Product,-109.95793253811838
Country,1983.9010205893169
Owner_Country,-14.526440935581785
time_from_start,-688.2146896962277
time_from_previous_event(start),-6.477417045034847
daytime,14406.512421139874
weekday,-31.071984272396982
# ACTIVITY=In Progress,-16.325373227181657
# ACTIVITY=Awaiting Assignment,10.541555387507769
# ACTIVITY=Resolved,1.5990461175202466
# ACTIVITY=Wait - User,2.7938350974894166
# ACTIVITY=Wait - Implementation,1.1423820364826238
# ACTIVITY=Assigned,-182.45574213488769
# ACTIVITY=Wait,-0.08788617563800409
# ACTIVITY=Wait - Vendor,42.457177248233364
# ACTIVITY=Closed,1.3806714506466906
# ACTIVITY=In Call,-2.6452755979249427
# ACTIVITY=Wait - Customer,0.4872836470412438
