,113
SR_Number,1-523391859
Status,none
ACTIVITY,Wait - Vendor
Involved_ST_Function_Div,none
Involved_Org_line_3,none
Involved_ST,none
SR_Latest_Impact,Medium
Product,PROD116
Country,br
Owner_Country,none
time_from_start,none
time_from_previous_event(start),none
daytime,none
weekday,none
# ACTIVITY=In Progress,2
# ACTIVITY=Awaiting Assignment,0
# ACTIVITY=Resolved,0
# ACTIVITY=Wait - User,0
# ACTIVITY=Wait - Implementation,0
# ACTIVITY=Assigned,0
# ACTIVITY=Wait,0
# ACTIVITY=Wait - Vendor,1
# ACTIVITY=Closed,0
# ACTIVITY=In Call,0
# ACTIVITY=Wait - Customer,0
