,0
SR_Number,1-699016718
Status,-353.0355661171981
ACTIVITY,44.081886686198345
Involved_ST_Function_Div,-90.30952683404817
Involved_Org_line_3,-367.9811354404852
Involved_ST,-32.69422194529993
SR_Latest_Impact,1344.8322033870293
Product,-26.910217185368563
Country,332.42652760451233
Owner_Country,-561.5193379984605
time_from_start,-542.3091240263609
time_from_previous_event(start),-8.725217965198365
daytime,16792.663899590978
weekday,-7.135297705964711
# ACTIVITY=In Progress,26.48689673799771
# ACTIVITY=Awaiting Assignment,43.056426755967216
# ACTIVITY=Resolved,6.7647173313362305
# ACTIVITY=Assigned,27.134095413531345
# ACTIVITY=Closed,2.9183233227970273
# ACTIVITY=Wait - User,3.662959503489925
# ACTIVITY=Wait - Implementation,8.112348222433896
# ACTIVITY=Wait,32.00372911386164
# ACTIVITY=Wait - Vendor,1.4871482586718334
# ACTIVITY=In Call,0.7553365249584889
# ACTIVITY=Wait - Customer,0.4963475264535479
# ACTIVITY=Unmatched,-1.5019945491569768e-05
# ACTIVITY=Cancelled,0.0
