,0
SR_Number,1-705937016
Status,-213.89298284448503
ACTIVITY,20.220777039301083
Involved_ST_Function_Div,-64.6728047212835
Involved_Org_line_3,-60.79290499580914
Involved_ST,-98.68151740475822
SR_Latest_Impact,-720.6829353118264
Product,-256.50351814904303
Country,-160.79320705227065
Owner_Country,-389.5643710343548
time_from_start,-409.36247974822817
time_from_previous_event(start),-9.83506303126412
daytime,14511.229628096635
weekday,-6.684479440612644
# ACTIVITY=In Progress,5.99857954655896
# ACTIVITY=Awaiting Assignment,-2.8584472469987356
# ACTIVITY=Resolved,3.3178741307011483
# ACTIVITY=Assigned,27.278114411948856
# ACTIVITY=Closed,2.1161297037275224
# ACTIVITY=Wait - User,18.046046906112295
# ACTIVITY=Wait - Implementation,-263.58219207847975
# ACTIVITY=Wait,23.406418072444254
# ACTIVITY=Wait - Vendor,0.974265784233812
# ACTIVITY=In Call,0.05544887168278111
# ACTIVITY=Wait - Customer,0.4023233040645121
# ACTIVITY=Unmatched,-2.766447542783964e-06
# ACTIVITY=Cancelled,0.0
