,0
SR_Number,1-729074991
Status,-260.0075086867632
ACTIVITY,2.1264772134142897
Involved_ST_Function_Div,-120.7128531412918
Involved_Org_line_3,-179.5395673236189
Involved_ST,-98.53393352393132
SR_Latest_Impact,1070.4903506180776
Product,-754.2411613913027
Country,-387.8091076232277
Owner_Country,-347.0429992328009
time_from_start,-449.20571112195887
time_from_previous_event(start),15.324061684347242
daytime,15495.419956682212
weekday,-8.130515242523776
# ACTIVITY=In Progress,0.7648604026157557
# ACTIVITY=Awaiting Assignment,15.340972573326955
# ACTIVITY=Resolved,4.129849500127978
# ACTIVITY=Assigned,54.40226133989113
# ACTIVITY=Closed,1.6792123658529674
# ACTIVITY=Wait - User,16.10603238442267
# ACTIVITY=Wait - Implementation,10.504795901114646
# ACTIVITY=Wait,27.85301122409872
# ACTIVITY=Wait - Vendor,1.4902412419777553
# ACTIVITY=In Call,0.20642515998281516
# ACTIVITY=Wait - Customer,0.48363380376415516
# ACTIVITY=Unmatched,2.7972439764434967e-06
# ACTIVITY=Cancelled,0.0
