,0
SR_Number,1-729351021
Status,-307.60678030244827
ACTIVITY,15.885031212066208
Involved_ST_Function_Div,-113.64988317358568
Involved_Org_line_3,-52.58132687092862
Involved_ST,-139.47087326781318
SR_Latest_Impact,1283.7883175113275
Product,-229.42918001881915
Country,1483.3272407172255
Owner_Country,-30.016833541266163
time_from_start,-488.4191602816855
time_from_previous_event(start),-9.26363533559842
daytime,16510.07118478019
weekday,-10.649236612542628
# ACTIVITY=In Progress,12.102027169350931
# ACTIVITY=Awaiting Assignment,27.011595451664377
# ACTIVITY=Resolved,5.617677828290908
# ACTIVITY=Assigned,-88.38786529001986
# ACTIVITY=Closed,3.227220209015113
# ACTIVITY=Wait - User,18.730958119191513
# ACTIVITY=Wait - Implementation,15.993719333205485
# ACTIVITY=Wait,30.222450196993375
# ACTIVITY=Wait - Vendor,1.7667057865818
# ACTIVITY=In Call,0.8939032966602616
# ACTIVITY=Wait - Customer,0.6428990278454358
# ACTIVITY=Unmatched,1.6983169912378292e-05
# ACTIVITY=Cancelled,0.0
