,SR_Number,Unnamed: 0,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),time_from_midnight,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Assigned,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=Closed,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer
0,1-364285768,0,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD582,fr,France,0.0,0.0,64047.582,Thursday,1,0,0,0,0,0,0,0,0,0,0
1,1-364285768,1,Accepted,In Progress,A2_4,Org line A2,V30,Medium,PROD582,fr,France,0.074,0.074,64047.656,Thursday,2,0,0,0,0,0,0,0,0,0,0
2,1-364285768,2,Queued,Awaiting Assignment,A2_5,Org line A2,V5 3rd,Medium,PROD582,fr,France,2.766,2.692,64050.348,Thursday,2,1,0,0,0,0,0,0,0,0,0
3,1-364285768,3,Accepted,In Progress,A2_5,Org line A2,V5 3rd,Medium,PROD582,fr,France,517.465,514.699,64565.047,Thursday,3,1,0,0,0,0,0,0,0,0,0
4,1-364285768,4,Queued,Awaiting Assignment,A2_4,Org line A2,V30,Medium,PROD582,fr,France,517.496,0.031,64565.078,Thursday,3,2,0,0,0,0,0,0,0,0,0
5,1-364285768,5,Accepted,In Progress,A2_5,Org line A2,V13 2nd 3rd,Medium,PROD582,fr,France,517.505,0.009,64565.087,Thursday,4,2,0,0,0,0,0,0,0,0,0
6,1-364285768,6,Completed,Resolved,A2_5,Org line A2,V13 2nd 3rd,Medium,PROD582,fr,France,517.509,0.004,64565.091,Thursday,4,2,1,0,0,0,0,0,0,0,0
7,1-364285768,7,Queued,Awaiting Assignment,A2_4,Org line A2,V30,Medium,PROD582,fr,France,517.525,0.016,64565.107,Thursday,4,3,1,0,0,0,0,0,0,0,0
8,1-467153946,9,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,0.0,0.0,4068.742,Friday,1,0,0,0,0,0,0,0,0,0,0
9,1-467153946,10,Accepted,In Progress,V3_2,Org line C,S42,Medium,PROD453,se,Sweden,0.382,0.382,4069.124,Friday,2,0,0,0,0,0,0,0,0,0,0
